site_names,site_codes,Grade_I_50,Grade_I_100,Grade_I_200,Grade_II_s_50,Grade_II_s_100,Grade_II_s_200,Listed_50,Listed_100,Listed_200
Walbrook Wharf,walbrooke,0,2,5,0,1,2,0,3,7
Nomura6,nomura_6,0,0,2,0,0,2,0,0,4
Nomura11,nomura_11,0,0,2,0,0,2,0,0,4
Guildhall,guildhall,0,1,1,2,2,3,2,3,4
120 Fenchurch,fenchurch,0,0,4,0,0,1,0,0,5
110 Fetter Lane,weils,0,0,3,1,1,2,1,1,5
60 London Wall,london_wall,0,0,0,0,1,4,0,1,4
100 Liverpool St,liverpool,0,0,0,0,0,1,0,0,1
79-83 Charterhouse St,charterhouse,0,0,0,1,1,1,1,1,1
1 Wood St,wood_st,0,1,5,0,0,3,0,1,8
Cannon Bridge House,cannon_bridge,0,0,3,0,0,1,0,0,4
Maughan Library,KCL,0,0,3,1,1,2,1,1,5
Bird&Bird,b_n_b,0,0,1,0,1,2,0,1,3